algo,stream_id,step,prefix_len,true_F0,estimate_N
packed,7,16,170001,48334,47569.8
packed,7,17,180001,48641,47799.6
packed,7,18,190001,48902,47949.8
packed,7,19,200000,49102,48167.5
packed,8,0,10001,9050,8894.21
packed,8,1,20001,16368,16159.3
packed,8,2,30001,22451,22043
packed,8,3,40001,27421,27012.8
packed,8,4,50001,31582,30713
packed,8,5,60001,34971,33779.2
packed,8,6,70001,37727,36511.8
packed,8,7,80001,39987,38737.1
packed,8,8,90001,41767,40420.3
packed,8,9,100001,43248,41613.5
packed,8,10,110001,44486,42629.8
packed,8,11,120001,45468,43549.2
packed,8,12,130001,46318,44344.2
packed,8,13,140001,46987,44936.4
packed,8,14,150001,47517,45539
packed,8,15,160001,47971,45789.5
packed,8,16,170001,48321,46005.3
packed,8,17,180001,48616,46274
packed,8,18,190001,48862,46459.5
packed,8,19,200000,49071,46532.8
packed,9,0,10001,9078,8991.84
packed,9,1,20001,16473,15730.1
packed,9,2,30001,22533,21759.5
packed,9,3,40001,27552,26169.3
packed,9,4,50001,31578,29719.2
packed,9,5,60001,34821,32556.1
packed,9,6,70001,37541,35221.7
packed,9,7,80001,39815,37425.2
packed,9,8,90001,41677,39171.4
packed,9,9,100001,43210,40654.7
packed,9,10,110001,44444,41702.8
packed,9,11,120001,45421,42604.2
packed,9,12,130001,46268,43470.4
packed,9,13,140001,46938,44060.3
packed,9,14,150001,47516,44761.1
packed,9,15,160001,47972,45220.2
packed,9,16,170001,48319,45492.5
packed,9,17,180001,48602,45740.6
packed,9,18,190001,48835,46017.9
packed,9,19,200000,49040,46209.8
packed,10,0,10001,9044,8781.74
packed,10,1,20001,16503,16065.7
packed,10,2,30001,22583,21624.6
packed,10,3,40001,27617,26089.1
packed,10,4,50001,31595,29576.4
packed,10,5,60001,34973,32895.2
packed,10,6,70001,37695,35283.6
packed,10,7,80001,39980,37327.6
packed,10,8,90001,41772,38930.7
packed,10,9,100001,43225,40209.4
packed,10,10,110001,44473,41294.3
packed,10,11,120001,45485,42216.9
packed,10,12,130001,46316,43084.9
packed,10,13,140001,46989,43566.7
packed,10,14,150001,47579,44077.3
packed,10,15,160001,48036,44611.2
packed,10,16,170001,48387,44960.3
packed,10,17,180001,48712,45416.5
packed,10,18,190001,48934,45619.9
packed,10,19,200000,49144,45833.1
packed,11,0,10001,9057,8902.99
packed,11,1,20001,16454,16053.5
packed,11,2,30001,22518,21591.3
packed,11,3,40001,27502,26950
packed,11,4,50001,31611,31288.3
packed,11,5,60001,34950,34890.3
packed,11,6,70001,37622,37368.7
packed,11,7,80001,39839,39092
packed,11,8,90001,41695,40725.9
packed,11,9,100001,43192,41854.7
packed,11,10,110001,44425,43026.1
packed,11,11,120001,45439,44041.2
packed,11,12,130001,46241,44828.4
packed,11,13,140001,46946,45416.4
packed,11,14,150001,47527,46112.8
packed,11,15,160001,48001,46617.3
packed,11,16,170001,48368,46952.8
packed,11,17,180001,48671,47243.2
packed,11,18,190001,48922,47396.9
packed,11,19,200000,49112,47594.6
packed,12,0,10001,9048,8747.75
packed,12,1,20001,16518,16047.6
packed,12,2,30001,22606,22015.2
packed,12,3,40001,27521,26766
packed,12,4,50001,31563,30387.5
packed,12,5,60001,34882,33442.6
packed,12,6,70001,37607,36122.4
packed,12,7,80001,39809,38501.8
packed,12,8,90001,41624,40300.1
packed,12,9,100001,43088,41533.3
packed,12,10,110001,44328,42884.5
packed,12,11,120001,45334,43880.1
packed,12,12,130001,46200,44498.8
packed,12,13,140001,46888,45059.8
packed,12,14,150001,47447,45546.3
packed,12,15,160001,47954,45972
packed,12,16,170001,48319,46322
packed,12,17,180001,48622,46614.8
packed,12,18,190001,48919,46975
packed,12,19,200000,49122,47340.5
packed,13,0,10001,9046,8773.22
packed,13,1,20001,16352,15728.1
packed,13,2,30001,22471,21758.8
packed,13,3,40001,27457,26634.5
packed,13,4,50001,31522,30313.4
packed,13,5,60001,34877,33612.7
packed,13,6,70001,37682,36402.9
packed,13,7,80001,39927,38738.4
packed,13,8,90001,41728,40240.3
packed,13,9,100001,43221,41702.6
packed,13,10,110001,44397,42803
packed,13,11,120001,45388,43797
packed,13,12,130001,46227,44527.9
packed,13,13,140001,46905,45188.9
packed,13,14,150001,47471,45729.5
packed,13,15,160001,47928,46090.2
packed,13,16,170001,48296,46392.3
packed,13,17,180001,48608,46595.5
packed,13,18,190001,48881,46835.1
packed,13,19,200000,49084,47200.5
packed,14,0,10001,9071,8841.92
packed,14,1,20001,16552,16271.7
packed,14,2,30001,22586,22326.6
packed,14,3,40001,27530,26848.7
packed,14,4,50001,31617,30799.1
packed,14,5,60001,34955,33926.2
packed,14,6,70001,37719,36270.3
packed,14,7,80001,40023,38132.5
packed,14,8,90001,41805,39565.6
packed,14,9,100001,43300,41158.3
packed,14,10,110001,44511,42225.6
packed,14,11,120001,45518,43086.7
packed,14,12,130001,46270,43827.8
packed,14,13,140001,46946,44283
packed,14,14,150001,47545,45044.3
packed,14,15,160001,47965,45409.5
packed,14,16,170001,48345,45918.8
packed,14,17,180001,48648,46182.1
packed,14,18,190001,48919,46596.9
packed,14,19,200000,49125,46761.4
packed,15,0,10001,9073,8764.71
packed,15,1,20001,16477,16039.4
packed,15,2,30001,22531,21861.8
packed,15,3,40001,27439,26968.1
packed,15,4,50001,31479,30787
packed,15,5,60001,34732,33883.2
packed,15,6,70001,37491,36567.7
packed,15,7,80001,39748,38690
packed,15,8,90001,41555,40381.2
packed,15,9,100001,43093,41637.2
packed,15,10,110001,44354,42923.7
packed,15,11,120001,45406,44130.8
packed,15,12,130001,46256,44965.7
packed,15,13,140001,46932,45894.4
packed,15,14,150001,47513,46494
packed,15,15,160001,47983,47032.5
packed,15,16,170001,48368,47266.5
packed,15,17,180001,48653,47535.6
packed,15,18,190001,48897,47684.1
packed,15,19,200000,49118,47862.1
packed,16,0,10001,9040,8688.94
packed,16,1,20001,16374,15932.5
packed,16,2,30001,22378,21556.4
packed,16,3,40001,27349,26276.4
packed,16,4,50001,31384,30714.7
packed,16,5,60001,34728,33869.1
packed,16,6,70001,37525,36542.1
packed,16,7,80001,39785,38927.1
packed,16,8,90001,41700,40783.4
packed,16,9,100001,43238,42307.5
packed,16,10,110001,44497,43647.8
packed,16,11,120001,45552,44616.7
packed,16,12,130001,46340,45310.1
packed,16,13,140001,47000,45969.3
packed,16,14,150001,47531,46617.4
packed,16,15,160001,47968,47156.2
packed,16,16,170001,48362,47454.5
packed,16,17,180001,48647,47666.3
packed,16,18,190001,48869,47952.8
packed,16,19,200000,49099,48221.6
packed,17,0,10001,9089,8747.75
packed,17,1,20001,16564,15939.5
packed,17,2,30001,22577,21653.8
packed,17,3,40001,27547,26697.9
packed,17,4,50001,31705,30604
packed,17,5,60001,35068,34347.4
packed,17,6,70001,37750,36733.8
packed,17,7,80001,40002,38989.3
packed,17,8,90001,41781,40484.3
packed,17,9,100001,43255,41897.8
packed,17,10,110001,44460,43000.9
packed,17,11,120001,45473,43916.1
packed,17,12,130001,46296,44798.4
packed,17,13,140001,46979,45163.5
packed,17,14,150001,47526,45648
packed,17,15,160001,47988,46033
packed,17,16,170001,48338,46244
packed,17,17,180001,48637,46413.4
packed,17,18,190001,48895,46706.3
packed,17,19,200000,49101,46772.3
packed,18,0,10001,9066,8590.03
packed,18,1,20001,16440,15833.2
packed,18,2,30001,22463,21751.6
packed,18,3,40001,27522,26141.5
packed,18,4,50001,31562,29966.8
packed,18,5,60001,34815,33291.5
packed,18,6,70001,37497,35888.4
packed,18,7,80001,39737,37975.1
packed,18,8,90001,41592,40148.7
packed,18,9,100001,43121,41659.5
packed,18,10,110001,44377,42955.3
packed,18,11,120001,45415,43859.5
packed,18,12,130001,46254,44604.3
packed,18,13,140001,46911,45224.8
packed,18,14,150001,47466,45825.2
packed,18,15,160001,47911,46072
packed,18,16,170001,48277,46532.7
packed,18,17,180001,48603,46919
packed,18,18,190001,48868,47330.8
packed,18,19,200000,49084,47633.9
packed,19,0,10001,9030,8639.19
packed,19,1,20001,16475,15970.5
packed,19,2,30001,22501,22007.7
packed,19,3,40001,27466,26997
packed,19,4,50001,31502,30966.1
packed,19,5,60001,34884,34274.5
packed,19,6,70001,37612,36865.4
packed,19,7,80001,39947,38833.5
packed,19,8,90001,41770,40361.4
packed,19,9,100001,43247,41838.8
packed,19,10,110001,44482,43203.9
packed,19,11,120001,45511,44008.3
packed,19,12,130001,46331,44910.1
packed,19,13,140001,47010,45370.3
packed,19,14,150001,47564,45973.8
packed,19,15,160001,48006,46303.4
packed,19,16,170001,48358,46736.6
packed,19,17,180001,48647,46842
packed,19,18,190001,48895,47057.9
packed,19,19,200000,49090,47168.1
packed,20,0,10001,9071,8911.79
packed,20,1,20001,16505,16129.9
packed,20,2,30001,22591,22031.3
packed,20,3,40001,27677,26739.5
packed,20,4,50001,31706,30485.8
packed,20,5,60001,35004,33585.3
packed,20,6,70001,37714,36311.4
packed,20,7,80001,39993,38764.9
packed,20,8,90001,41800,40436.9
packed,20,9,100001,43297,41739.4
packed,20,10,110001,44479,42853.9
packed,20,11,120001,45473,43902.6
packed,20,12,130001,46307,44653.6
packed,20,13,140001,46977,45190.1
packed,20,14,150001,47503,45830.9
packed,20,15,160001,47997,46258.1
packed,20,16,170001,48374,46682
packed,20,17,180001,48648,46912.5
packed,20,18,190001,48909,47122.2
packed,20,19,200000,49098,47294.7
packed,21,0,10001,9035,8399.12
packed,21,1,20001,16528,15567.9
packed,21,2,30001,22546,21394.8
packed,21,3,40001,27516,26292.4
packed,21,4,50001,31578,30186
packed,21,5,60001,34856,33825
packed,21,6,70001,37627,36356.1
packed,21,7,80001,39895,38668.4
packed,21,8,90001,41698,40800.7
packed,21,9,100001,43192,42104.7
packed,21,10,110001,44428,43443
packed,21,11,120001,45478,44422.2
packed,21,12,130001,46289,45223.2
packed,21,13,140001,46926,45791.2
packed,21,14,150001,47495,46164.1
packed,21,15,160001,47951,46527.5
packed,21,16,170001,48316,47001.4
packed,21,17,180001,48589,47237.7
packed,21,18,190001,48851,47428
packed,21,19,200000,49055,47559.8
packed,22,0,10001,9107,8911.79
packed,22,1,20001,16524,16365.8
packed,22,2,30001,22574,22189.4
packed,22,3,40001,27612,27039.3
packed,22,4,50001,31685,30389
packed,22,5,60001,35044,33644.2
packed,22,6,70001,37707,36191
packed,22,7,80001,39943,37910.6
packed,22,8,90001,41765,39601.4
packed,22,9,100001,43257,40893.7
packed,22,10,110001,44501,41962.9
packed,22,11,120001,45478,42898.4
packed,22,12,130001,46305,43946.6
packed,22,13,140001,46982,44716.2
packed,22,14,150001,47533,45042
packed,22,15,160001,48014,45679.2
packed,22,16,170001,48366,46002.9
packed,22,17,180001,48670,46292.2
packed,22,18,190001,48894,46433.1
packed,22,19,200000,49095,46668.1
packed,23,0,10001,9066,8956.07
packed,23,1,20001,16499,15779.3
packed,23,2,30001,22552,21620.1
packed,23,3,40001,27497,26066.8
packed,23,4,50001,31563,29796.4
packed,23,5,60001,34900,32858.6
packed,23,6,70001,37637,35690.2
packed,23,7,80001,39886,37833.2
packed,23,8,90001,41703,39487.7
packed,23,9,100001,43244,40769
packed,23,10,110001,44529,41899.6
packed,23,11,120001,45523,42674.6
packed,23,12,130001,46308,43218.3
packed,23,13,140001,46986,43975
packed,23,14,150001,47529,44397.4
packed,23,15,160001,48001,44837.3
packed,23,16,170001,48358,45221
packed,23,17,180001,48653,45498.6
packed,23,18,190001,48898,45630.5
packed,23,19,200000,49109,45783
packed,24,0,10001,9070,8859.27
packed,24,1,20001,16507,16044.9
packed,24,2,30001,22531,21804.8
packed,24,3,40001,27500,26545.8
packed,24,4,50001,31534,30295.8
packed,24,5,60001,34853,33130.9
packed,24,6,70001,37585,35889.3
packed,24,7,80001,39893,37959.7
packed,24,8,90001,41732,39978
packed,24,9,100001,43243,41472.9
packed,24,10,110001,44470,42744.7
packed,24,11,120001,45514,43845.5
packed,24,12,130001,46332,44482
packed,24,13,140001,46983,45104.9
packed,24,14,150001,47538,45568.1
packed,24,15,160001,47995,46146.7
packed,24,16,170001,48363,46517.4
packed,24,17,180001,48654,46751.9
packed,24,18,190001,48868,46975.3
packed,24,19,200000,49064,47149.7
packed,25,0,10001,9108,8902.99
packed,25,1,20001,16512,15745.4
packed,25,2,30001,22613,21523.9
packed,25,3,40001,27567,26513.3
packed,25,4,50001,31674,30242.7
packed,25,5,60001,34978,33540.3
packed,25,6,70001,37704,36098.1
packed,25,7,80001,39877,37822.9
packed,25,8,90001,41713,39496.3
packed,25,9,100001,43183,40619.1
packed,25,10,110001,44417,41648.1
packed,25,11,120001,45471,42768.2
packed,25,12,130001,46300,43537
packed,25,13,140001,46974,44147.4
packed,25,14,150001,47511,44519.9
packed,25,15,160001,47964,44959
packed,25,16,170001,48328,45510
packed,25,17,180001,48615,45822.4
packed,25,18,190001,48868,46221.8
packed,25,19,200000,49085,46581.5
packed,26,0,10001,9084,8850.58
packed,26,1,20001,16475,16152.7
packed,26,2,30001,22553,21832.5
packed,26,3,40001,27596,26892.4
packed,26,4,50001,31705,30863.3
packed,26,5,60001,35001,33704.9
packed,26,6,70001,37630,36105.9
packed,26,7,80001,39841,38007.6
packed,26,8,90001,41622,39290.9
packed,26,9,100001,43164,40693.3
packed,26,10,110001,44410,41811.2
packed,26,11,120001,45421,42674
packed,26,12,130001,46202,43329.5
packed,26,13,140001,46918,44166.5
packed,26,14,150001,47471,44874.7
packed,26,15,160001,47949,45366.4
packed,26,16,170001,48321,45825.8
packed,26,17,180001,48631,46017.8
packed,26,18,190001,48869,46274.3
packed,26,19,200000,49062,46426.5
packed,27,0,10001,9047,9064.34
packed,27,1,20001,16534,15953.2
packed,27,2,30001,22592,21628.9
packed,27,3,40001,27583,26174.7
packed,27,4,50001,31635,30118.2
packed,27,5,60001,35022,33421.8
packed,27,6,70001,37712,36045.4
packed,27,7,80001,39993,38391.1
packed,27,8,90001,41766,40129.1
packed,27,9,100001,43208,41565.9
packed,27,10,110001,44416,42857.1
packed,27,11,120001,45403,43753.1
packed,27,12,130001,46232,44527.3
packed,27,13,140001,46921,44972.4
packed,27,14,150001,47467,45485.7
packed,27,15,160001,47885,45914.9
packed,27,16,170001,48284,46540.8
packed,27,17,180001,48589,46940.6
packed,27,18,190001,48841,47242.8
packed,27,19,200000,49043,47401.8
packed,28,0,10001,9066,8867.98
packed,28,1,20001,16474,15962
packed,28,2,30001,22509,21610
packed,28,3,40001,27517,26375.4
packed,28,4,50001,31580,30000.2
packed,28,5,60001,34900,33415.3
packed,28,6,70001,37579,36051.4
packed,28,7,80001,39839,38533.2
packed,28,8,90001,41687,40394.3
packed,28,9,100001,43184,42121.6
packed,28,10,110001,44337,43307.9
packed,28,11,120001,45369,44294.6
packed,28,12,130001,46193,45242.4
packed,28,13,140001,46907,45921.9
packed,28,14,150001,47451,46196.2
packed,28,15,160001,47905,46580
packed,28,16,170001,48301,47306.2
packed,28,17,180001,48617,47620.5
