algo,stream_id,step,prefix_len,true_F0,estimate_N
baseline,0,0,10001,9079,9055.2
baseline,0,1,20001,16488,15728.3
baseline,0,2,30001,22492,21489.6
baseline,0,3,40001,27470,26066.8
baseline,0,4,50001,31501,29970.8
baseline,0,5,60001,34896,32576.5
baseline,0,6,70001,37660,35242.3
baseline,0,7,80001,39927,37271
baseline,0,8,90001,41752,39054.2
baseline,0,9,100001,43136,40490.3
baseline,0,10,110001,44372,41775.1
baseline,0,11,120001,45388,42729.4
baseline,0,12,130001,46216,43657.8
baseline,0,13,140001,46926,44196.5
baseline,0,14,150001,47495,44574
baseline,0,15,160001,47927,45038.1
baseline,0,16,170001,48338,45472.2
baseline,0,17,180001,48613,45677
baseline,0,18,190001,48871,45957.5
baseline,0,19,200000,49063,46133.4
baseline,1,0,10001,9055,8929.44
baseline,1,1,20001,16510,15917.8
baseline,1,2,30001,22610,22160.4
baseline,1,3,40001,27576,27233.6
baseline,1,4,50001,31671,31071.7
baseline,1,5,60001,34997,33977.3
baseline,1,6,70001,37732,36775.6
baseline,1,7,80001,39903,38903.2
baseline,1,8,90001,41695,40464.4
baseline,1,9,100001,43179,41756
baseline,1,10,110001,44427,42806.9
baseline,1,11,120001,45457,43664.8
baseline,1,12,130001,46329,44589.6
baseline,1,13,140001,46989,45124.9
baseline,1,14,150001,47519,45482
baseline,1,15,160001,47971,45994.6
baseline,1,16,170001,48329,46557.6
baseline,1,17,180001,48622,46917.1
baseline,1,18,190001,48844,47034.7
baseline,1,19,200000,49054,47209.6
baseline,2,0,10001,9065,8722.44
baseline,2,1,20001,16513,16214.1
baseline,2,2,30001,22574,22078.1
baseline,2,3,40001,27558,26775.4
baseline,2,4,50001,31654,30708
baseline,2,5,60001,35009,34207.2
baseline,2,6,70001,37750,36911.6
baseline,2,7,80001,39974,38823.3
baseline,2,8,90001,41811,40915.9
baseline,2,9,100001,43241,42423.9
baseline,2,10,110001,44465,43588.4
baseline,2,11,120001,45479,44847.7
baseline,2,12,130001,46313,45589.1
baseline,2,13,140001,46948,46425.6
baseline,2,14,150001,47516,47095.2
baseline,2,15,160001,47975,47594.1
baseline,2,16,170001,48331,48005.1
baseline,2,17,180001,48634,48312.2
baseline,2,18,190001,48876,48411.8
baseline,2,19,200000,49073,48517.4
baseline,3,0,10001,9041,8764.71
baseline,3,1,20001,16372,15622.5
baseline,3,2,30001,22429,21414.5
baseline,3,3,40001,27384,26164.2
baseline,3,4,50001,31496,30354.5
baseline,3,5,60001,34853,33565
baseline,3,6,70001,37547,36073.3
baseline,3,7,80001,39801,38627.1
baseline,3,8,90001,41724,40097.1
baseline,3,9,100001,43224,41513
baseline,3,10,110001,44450,42521.5
baseline,3,11,120001,45448,43663.9
baseline,3,12,130001,46296,44762.6
baseline,3,13,140001,47003,45104.2
baseline,3,14,150001,47585,45687.7
baseline,3,15,160001,48035,45956.5
baseline,3,16,170001,48389,46300
baseline,3,17,180001,48704,46587.2
baseline,3,18,190001,48917,46842.9
baseline,3,19,200000,49119,47094.5
baseline,4,0,10001,9094,8850.58
baseline,4,1,20001,16467,15894.7
baseline,4,2,30001,22519,21827.7
baseline,4,3,40001,27516,27006.5
baseline,4,4,50001,31611,31270.8
baseline,4,5,60001,35011,34715.7
baseline,4,6,70001,37695,37377.3
baseline,4,7,80001,39873,39409
baseline,4,8,90001,41694,41142.7
baseline,4,9,100001,43165,42216.8
baseline,4,10,110001,44443,43454.6
baseline,4,11,120001,45418,44496.9
baseline,4,12,130001,46249,45320.6
baseline,4,13,140001,46946,45868.9
baseline,4,14,150001,47514,46586.2
baseline,4,15,160001,47963,46983.4
baseline,4,16,170001,48342,47196.4
baseline,4,17,180001,48660,47867.5
baseline,4,18,190001,48899,47970.6
baseline,4,19,200000,49094,48082.1
baseline,5,0,10001,9013,9000.83
baseline,5,1,20001,16437,15929.8
baseline,5,2,30001,22471,21293.3
baseline,5,3,40001,27436,26188.9
baseline,5,4,50001,31478,30007.5
baseline,5,5,60001,34761,33026.5
baseline,5,6,70001,37580,35508
baseline,5,7,80001,39907,37852.1
baseline,5,8,90001,41696,39554.7
baseline,5,9,100001,43200,40885.5
baseline,5,10,110001,44461,42232.8
baseline,5,11,120001,45436,43084
baseline,5,12,130001,46288,43896.1
baseline,5,13,140001,46953,44422.9
baseline,5,14,150001,47469,44915
baseline,5,15,160001,47947,45186.3
