algo,stream_id,step,prefix_len,true_F0,estimate_N
baseline,7,8,90001,41837,40652.2
baseline,7,9,100001,43263,41611.2
baseline,7,10,110001,44459,43136.7
baseline,7,11,120001,45466,44059.1
baseline,7,12,130001,46338,44433.6
baseline,7,13,140001,46968,44923.8
baseline,7,14,150001,47504,45276.1
baseline,7,15,160001,47962,45606.4
baseline,7,16,170001,48334,46231.8
baseline,7,17,180001,48641,46298.2
baseline,7,18,190001,48902,46537.7
baseline,7,19,200000,49102,46537.7
baseline,8,0,10001,9050,8361.87
baseline,8,1,20001,16368,15410.5
baseline,8,2,30001,22451,20680.4
baseline,8,3,40001,27421,25908.5
baseline,8,4,50001,31582,29211.6
baseline,8,5,60001,34971,32163.2
baseline,8,6,70001,37727,34787.7
baseline,8,7,80001,39987,36754.7
baseline,8,8,90001,41767,37866.2
baseline,8,9,100001,43248,39315.9
baseline,8,10,110001,44486,40157.7
baseline,8,11,120001,45468,41282.5
baseline,8,12,130001,46318,42027.1
baseline,8,13,140001,46987,42447.9
baseline,8,14,150001,47517,43468.6
baseline,8,15,160001,47971,43682.1
baseline,8,16,170001,48321,44017.6
baseline,8,17,180001,48616,44256.9
baseline,8,18,190001,48862,44468.6
baseline,8,19,200000,49071,44612.2
baseline,9,0,10001,9078,9244.2
baseline,9,1,20001,16473,15988.6
baseline,9,2,30001,22533,22418.5
baseline,9,3,40001,27552,26997.3
baseline,9,4,50001,31578,31670.2
baseline,9,5,60001,34821,34547.1
baseline,9,6,70001,37541,36638.8
baseline,9,7,80001,39815,38692.4
baseline,9,8,90001,41677,40704.5
baseline,9,9,100001,43210,42013
baseline,9,10,110001,44444,43091.7
baseline,9,11,120001,45421,43722.5
baseline,9,12,130001,46268,44384.7
baseline,9,13,140001,46938,44936.3
baseline,9,14,150001,47516,45646.9
baseline,9,15,160001,47972,46081.8
baseline,9,16,170001,48319,46507
baseline,9,17,180001,48602,46652.8
baseline,9,18,190001,48835,47251.2
baseline,9,19,200000,49040,47343.7
baseline,10,0,10001,9044,8621.77
baseline,10,1,20001,16503,15560.6
baseline,10,2,30001,22583,21021.4
baseline,10,3,40001,27617,25705.5
baseline,10,4,50001,31595,29026.4
baseline,10,5,60001,34973,32278.6
baseline,10,6,70001,37695,34104.9
baseline,10,7,80001,39980,36194.5
baseline,10,8,90001,41772,38038.8
baseline,10,9,100001,43225,39649.5
baseline,10,10,110001,44473,40980.5
baseline,10,11,120001,45485,41931.1
baseline,10,12,130001,46316,43241
baseline,10,13,140001,46989,43863.7
baseline,10,14,150001,47579,44371.2
baseline,10,15,160001,48036,44896.2
baseline,10,16,170001,48387,45289.1
baseline,10,17,180001,48712,45674.1
baseline,10,18,190001,48934,45768.7
baseline,10,19,200000,49144,46228.1
baseline,11,0,10001,9057,9104.34
baseline,11,1,20001,16454,15880.9
baseline,11,2,30001,22518,20784.3
baseline,11,3,40001,27502,27208.7
baseline,11,4,50001,31611,30875.4
baseline,11,5,60001,34950,34723.7
baseline,11,6,70001,37622,37836.8
baseline,11,7,80001,39839,39696.1
baseline,11,8,90001,41695,41585.5
baseline,11,9,100001,43192,42588.1
baseline,11,10,110001,44425,43454
baseline,11,11,120001,45439,44805.4
baseline,11,12,130001,46241,45209.9
baseline,11,13,140001,46946,45921
baseline,11,14,150001,47527,46627.4
baseline,11,15,160001,48001,47445.2
baseline,11,16,170001,48368,48124
baseline,11,17,180001,48671,48656.6
baseline,11,18,190001,48922,48946
baseline,11,19,200000,49112,49270.2
baseline,12,0,10001,9048,9025.31
baseline,12,1,20001,16518,16724.8
baseline,12,2,30001,22606,23059.6
baseline,12,3,40001,27521,27253.5
baseline,12,4,50001,31563,30492.7
baseline,12,5,60001,34882,33343.8
baseline,12,6,70001,37607,35639.7
baseline,12,7,80001,39809,38610.8
baseline,12,8,90001,41624,40464.6
baseline,12,9,100001,43088,41582.5
baseline,12,10,110001,44328,42715.5
baseline,12,11,120001,45334,43403.2
baseline,12,12,130001,46200,43900.6
baseline,12,13,140001,46888,44398.1
baseline,12,14,150001,47447,44781
baseline,12,15,160001,47954,44864.1
baseline,12,16,170001,48319,45083.7
baseline,12,17,180001,48622,45443.9
baseline,12,18,190001,48919,45978.6
baseline,12,19,200000,49122,46909.7
baseline,13,0,10001,9046,8342.89
baseline,13,1,20001,16352,15259.2
baseline,13,2,30001,22471,21398.4
baseline,13,3,40001,27457,26490.5
baseline,13,4,50001,31522,30767.7
baseline,13,5,60001,34877,34368
baseline,13,6,70001,37682,37571.4
baseline,13,7,80001,39927,39165.5
baseline,13,8,90001,41728,40631
baseline,13,9,100001,43221,42020.6
baseline,13,10,110001,44397,43020.7
baseline,13,11,120001,45388,43906.3
baseline,13,12,130001,46227,44540.1
baseline,13,13,140001,46905,45501.5
baseline,13,14,150001,47471,46045.8
baseline,13,15,160001,47928,46166.7
baseline,13,16,170001,48296,46410.4
baseline,13,17,180001,48608,46798.5
baseline,13,18,190001,48881,46912
baseline,13,19,200000,49084,47048.9
baseline,14,0,10001,9071,8717.66
baseline,14,1,20001,16552,15711.6
baseline,14,2,30001,22586,22236.2
baseline,14,3,40001,27530,26783.8
baseline,14,4,50001,31617,31081.9
baseline,14,5,60001,34955,34457.3
baseline,14,6,70001,37719,36191.6
baseline,14,7,80001,40023,37996.4
baseline,14,8,90001,41805,39550.3
baseline,14,9,100001,43300,41299.4
baseline,14,10,110001,44511,42594.3
baseline,14,11,120001,45518,43450.1
baseline,14,12,130001,46270,44194.7
baseline,14,13,140001,46946,44561.2
baseline,14,14,150001,47545,46155.6
baseline,14,15,160001,47965,46718.6
baseline,14,16,170001,48345,47260.8
baseline,14,17,180001,48648,47830.6
baseline,14,18,190001,48919,48011.6
baseline,14,19,200000,49125,48202.7
baseline,15,0,10001,9073,8827.29
baseline,15,1,20001,16477,16533.7
baseline,15,2,30001,22531,23358.7
baseline,15,3,40001,27439,28492.3
baseline,15,4,50001,31479,32466.7
baseline,15,5,60001,34732,35287.3
baseline,15,6,70001,37491,37600.5
baseline,15,7,80001,39748,39787.9
baseline,15,8,90001,41555,41475.1
baseline,15,9,100001,43093,42577.6
baseline,15,10,110001,44354,43737.7
baseline,15,11,120001,45406,45472.6
baseline,15,12,130001,46256,46438.8
baseline,15,13,140001,46932,47110.4
baseline,15,14,150001,47513,47538.1
baseline,15,15,160001,47983,48229.3
baseline,15,16,170001,48368,48374.1
baseline,15,17,180001,48653,48770.1
baseline,15,18,190001,48897,48856.4
baseline,15,19,200000,49118,49042.2
baseline,16,0,10001,9040,8562.14
baseline,16,1,20001,16374,15566.7
baseline,16,2,30001,22378,21058.3
baseline,16,3,40001,27349,24847.5
baseline,16,4,50001,31384,29726.8
baseline,16,5,60001,34728,32865.7
baseline,16,6,70001,37525,35064.9
baseline,16,7,80001,39785,37161.3
baseline,16,8,90001,41700,39017.1
baseline,16,9,100001,43238,40157.3
baseline,16,10,110001,44497,41648.9
baseline,16,11,120001,45552,42528
baseline,16,12,130001,46340,43530.6
baseline,16,13,140001,47000,44194.5
baseline,16,14,150001,47531,44886.8
baseline,16,15,160001,47968,45542.1
baseline,16,16,170001,48362,45681.9
baseline,16,17,180001,48647,45783.3
baseline,16,18,190001,48869,46310.8
baseline,16,19,200000,49099,46522.5
baseline,17,0,10001,9089,9088.96
baseline,17,1,20001,16564,16109.6
baseline,17,2,30001,22577,21864
baseline,17,3,40001,27547,26505.9
baseline,17,4,50001,31705,29674
baseline,17,5,60001,35068,33953.8
baseline,17,6,70001,37750,36974.8
baseline,17,7,80001,40002,39053
baseline,17,8,90001,41781,41209.8
baseline,17,9,100001,43255,42921
baseline,17,10,110001,44460,43442.8
baseline,17,11,120001,45473,44453.4
baseline,17,12,130001,46296,45267.5
baseline,17,13,140001,46979,45539.2
baseline,17,14,150001,47526,45845.5
baseline,17,15,160001,47988,46544.7
baseline,17,16,170001,48338,46733.1
baseline,17,17,180001,48637,47085.7
baseline,17,18,190001,48895,47766
baseline,17,19,200000,49101,47908
baseline,18,0,10001,9066,8486.03
baseline,18,1,20001,16440,16299.6
baseline,18,2,30001,22463,22974.2
baseline,18,3,40001,27522,27741.5
baseline,18,4,50001,31562,31881
baseline,18,5,60001,34815,35160.9
baseline,18,6,70001,37497,37448.1
baseline,18,7,80001,39737,40263.2
baseline,18,8,90001,41592,42892.4
baseline,18,9,100001,43121,44885.5
baseline,18,10,110001,44377,46248.5
baseline,18,11,120001,45415,46853.5
baseline,18,12,130001,46254,47755.8
baseline,18,13,140001,46911,48822.7
baseline,18,14,150001,47466,49114
baseline,18,15,160001,47911,49472
baseline,18,16,170001,48277,49912.5
baseline,18,17,180001,48603,50512.1
baseline,18,18,190001,48868,50814
baseline,18,19,200000,49084,51040.2
baseline,19,0,10001,9030,9067.12
baseline,19,1,20001,16475,15864.1
baseline,19,2,30001,22501,21773.2
baseline,19,3,40001,27466,25868.3
baseline,19,4,50001,31502,30421.7
baseline,19,5,60001,34884,33874.3
baseline,19,6,70001,37612,35867.2
baseline,19,7,80001,39947,38181.1
baseline,19,8,90001,41770,39708.8
baseline,19,9,100001,43247,41253.4
baseline,19,10,110001,44482,41970.7
baseline,19,11,120001,45511,42635.7
baseline,19,12,130001,46331,43289.3
baseline,19,13,140001,47010,43640.3
baseline,19,14,150001,47564,44229.1
baseline,19,15,160001,48006,44575.7
baseline,19,16,170001,48358,44972.1
baseline,19,17,180001,48647,45014
baseline,19,18,190001,48895,45245.6
baseline,19,19,200000,49090,45330.5
baseline,20,0,10001,9071,9097.2
baseline,20,1,20001,16505,16798.8
baseline,20,2,30001,22591,22441.6
baseline,20,3,40001,27677,27468.6
baseline,20,4,50001,31706,31098.4
baseline,20,5,60001,35004,34464.4
baseline,20,6,70001,37714,37777.8
baseline,20,7,80001,39993,39986.5
baseline,20,8,90001,41800,41701.3
baseline,20,9,100001,43297,43151.5
baseline,20,10,110001,44479,44143.7
baseline,20,11,120001,45473,44766.9
baseline,20,12,130001,46307,45413.3
baseline,20,13,140001,46977,45952.8
baseline,20,14,150001,47503,46575.2
baseline,20,15,160001,47997,47016.8
baseline,20,16,170001,48374,47234.9
baseline,20,17,180001,48648,47478.4
baseline,20,18,190001,48909,47653.5
baseline,20,19,200000,49098,47911.7
baseline,21,0,10001,9035,8948.14
baseline,21,1,20001,16528,15824.5
baseline,21,2,30001,22546,21237.8
baseline,21,3,40001,27516,26405.3
baseline,21,4,50001,31578,30832.4
baseline,21,5,60001,34856,34839
baseline,21,6,70001,37627,37046
baseline,21,7,80001,39895,39397.1
baseline,21,8,90001,41698,41657.9
baseline,21,9,100001,43192,42818.7
baseline,21,10,110001,44428,44349.7
baseline,21,11,120001,45478,44903.1
baseline,21,12,130001,46289,45653
baseline,21,13,140001,46926,46575
baseline,21,14,150001,47495,46852.1
baseline,21,15,160001,47951,47412
baseline,21,16,170001,48316,47690.4
baseline,21,17,180001,48589,47808.3
baseline,21,18,190001,48851,47903
baseline,21,19,200000,49055,48057.7
baseline,22,0,10001,9107,9133.07
baseline,22,1,20001,16524,16140.9
baseline,22,2,30001,22574,21565.8
baseline,22,3,40001,27612,26928.8
baseline,22,4,50001,31685,30270.5
baseline,22,5,60001,35044,33629.7
baseline,22,6,70001,37707,36434.9
baseline,22,7,80001,39943,38015.8
baseline,22,8,90001,41765,39596.3
baseline,22,9,100001,43257,40585.9
baseline,22,10,110001,44501,41375.6
baseline,22,11,120001,45478,42151.1
baseline,22,12,130001,46305,42890.1
baseline,22,13,140001,46982,43812.4
baseline,22,14,150001,47533,44011.8
baseline,22,15,160001,48014,44968.5
baseline,22,16,170001,48366,45310.9
baseline,22,17,180001,48670,45564.4
baseline,22,18,190001,48894,45628.9
baseline,22,19,200000,49095,45715
baseline,23,0,10001,9066,9352.48
baseline,23,1,20001,16499,16717.3
baseline,23,2,30001,22552,22483.2
baseline,23,3,40001,27497,27177.3
baseline,23,4,50001,31563,31468.8
baseline,23,5,60001,34900,34603.8
baseline,23,6,70001,37637,36860.4
baseline,23,7,80001,39886,38836.2
baseline,23,8,90001,41703,40469
baseline,23,9,100001,43244,42120.3
baseline,23,10,110001,44529,43400.3
baseline,23,11,120001,45523,44454.6
baseline,23,12,130001,46308,44742.6
baseline,23,13,140001,46986,45596.3
baseline,23,14,150001,47529,46100.3
baseline,23,15,160001,48001,46626.7
baseline,23,16,170001,48358,47389.2
baseline,23,17,180001,48653,47400.8
baseline,23,18,190001,48898,47441.5
baseline,23,19,200000,49109,47488.1
baseline,24,0,10001,9070,8681.53
baseline,24,1,20001,16507,15817.7
baseline,24,2,30001,22531,21156.3
baseline,24,3,40001,27500,26057.3
baseline,24,4,50001,31534,29880
baseline,24,5,60001,34853,32240.6
baseline,24,6,70001,37585,34874.7
baseline,24,7,80001,39893,36971.7
baseline,24,8,90001,41732,39270.6
baseline,24,9,100001,43243,40532.2
baseline,24,10,110001,44470,42061.5
baseline,24,11,120001,45514,43744.7
baseline,24,12,130001,46332,44009.7
baseline,24,13,140001,46983,44450.9
baseline,24,14,150001,47538,44933.7
baseline,24,15,160001,47995,45745.4
baseline,24,16,170001,48363,46276.2
baseline,24,17,180001,48654,46633.2
baseline,24,18,190001,48868,46768.5
baseline,24,19,200000,49064,46802.5
baseline,25,0,10001,9108,8845.7
baseline,25,1,20001,16512,15314.6
baseline,25,2,30001,22613,21177.1
baseline,25,3,40001,27567,26593.5
baseline,25,4,50001,31674,30668.6
baseline,25,5,60001,34978,33744.7
baseline,25,6,70001,37704,36313.7
baseline,25,7,80001,39877,38836.6
baseline,25,8,90001,41713,40580.3
baseline,25,9,100001,43183,41588.1
baseline,25,10,110001,44417,42657.8
baseline,25,11,120001,45471,43728.1
baseline,25,12,130001,46300,44172.5
baseline,25,13,140001,46974,44832.9
baseline,25,14,150001,47511,45218.1
baseline,25,15,160001,47964,45688.1
baseline,25,16,170001,48328,46270.7
baseline,25,17,180001,48615,46459.6
baseline,25,18,190001,48868,46933.1
baseline,25,19,200000,49085,47336.6
baseline,26,0,10001,9084,8915.27
baseline,26,1,20001,16475,15941.9
baseline,26,2,30001,22553,22150
baseline,26,3,40001,27596,27092.8
baseline,26,4,50001,31705,31338.9
baseline,26,5,60001,35001,34334.2
baseline,26,6,70001,37630,36728.1
baseline,26,7,80001,39841,38655.8
baseline,26,8,90001,41622,39712.3
baseline,26,9,100001,43164,41245.1
baseline,26,10,110001,44410,42260.1
baseline,26,11,120001,45421,43064.5
baseline,26,12,130001,46202,43862.9
baseline,26,13,140001,46918,44987.1
baseline,26,14,150001,47471,45997.4
baseline,26,15,160001,47949,46455.9
baseline,26,16,170001,48321,46855.4
baseline,26,17,180001,48631,47129.4
baseline,26,18,190001,48869,47308.1
baseline,26,19,200000,49062,47308.1
baseline,27,0,10001,9047,9192.6
baseline,27,1,20001,16534,16339.2
baseline,27,2,30001,22592,22403.1
baseline,27,3,40001,27583,26656.7
baseline,27,4,50001,31635,29902
baseline,27,5,60001,35022,33206.1
baseline,27,6,70001,37712,35840.8
baseline,27,7,80001,39993,37741.1
baseline,27,8,90001,41766,39257.3
baseline,27,9,100001,43208,41328.2
baseline,27,10,110001,44416,42141.4
baseline,27,11,120001,45403,43118.4
baseline,27,12,130001,46232,43946.2
baseline,27,13,140001,46921,44635.5
baseline,27,14,150001,47467,45603.8
baseline,27,15,160001,47885,46103.1
baseline,27,16,170001,48284,46769.9
baseline,27,17,180001,48589,47186.3
baseline,27,18,190001,48841,47186.3
baseline,27,19,200000,49043,47464.3
baseline,28,0,10001,9066,8823.63
baseline,28,1,20001,16474,16475.8
baseline,28,2,30001,22509,22038.2
baseline,28,3,40001,27517,26751.9
baseline,28,4,50001,31580,30459.8
baseline,28,5,60001,34900,33544.2
baseline,28,6,70001,37579,35944.4
baseline,28,7,80001,39839,38236.3
baseline,28,8,90001,41687,39622.2
baseline,28,9,100001,43184,41722.7
baseline,28,10,110001,44337,43306.1
baseline,28,11,120001,45369,44692.3
baseline,28,12,130001,46193,45501.9
baseline,28,13,140001,46907,46175.3
baseline,28,14,150001,47451,46426.1
baseline,28,15,160001,47905,47174.5
baseline,28,16,170001,48301,47745.1
baseline,28,17,180001,48617,48089.4
baseline,28,18,190001,48857,48305.5
baseline,28,19,200000,49048,48402.2
baseline,29,0,10001,9044,8284.15
baseline,29,1,20001,16442,16101.3
baseline,29,2,30001,22530,21739.7
baseline,29,3,40001,27478,26641.7
baseline,29,4,50001,31560,31755.9
baseline,29,5,60001,34988,35618.4
baseline,29,6,70001,37686,38219.9
baseline,29,7,80001,39935,40524
baseline,29,8,90001,41780,42941.3
baseline,29,9,100001,43246,43884.9
baseline,29,10,110001,44401,45987
baseline,29,11,120001,45414,47708.3
baseline,29,12,130001,46211,48267.9
baseline,29,13,140001,46915,48352.4
baseline,29,14,150001,47483,48919.5
baseline,29,15,160001,47936,49493.8
baseline,29,16,170001,48326,49611.1
baseline,29,17,180001,48623,49854.1
baseline,29,18,190001,48869,50021.5
baseline,29,19,200000,49053,50242.4
