algo,step,prefix_len,p,m,true_mean_F0,true_std_F0,est_mean_N,est_std_N,rel_err_mean
baseline,0,10001,10,1024,9060.37,23.015,8798.94,314.466,-0.0288536
baseline,1,20001,10,1024,16475.8,53.9894,15922,484.898,-0.0336117
baseline,2,30001,10,1024,22532.3,58.3634,21796,700.714,-0.0326791
baseline,3,40001,10,1024,27514.8,71.2304,26646.9,832.56,-0.0315414
baseline,4,50001,10,1024,31584.4,81.6884,30622.1,990.912,-0.0304666
baseline,5,60001,10,1024,34919.2,92.7731,33882.1,1033.54,-0.0296993
baseline,6,70001,10,1024,37645.9,76.6343,36358,1074,-0.03421
baseline,7,80001,10,1024,39896.8,79.806,38477.7,1114.91,-0.0355691
baseline,8,90001,10,1024,41720.6,66.0844,40184.5,1288.83,-0.0368182
baseline,9,100001,10,1024,43207.1,53.7989,41601,1242.27,-0.0371719
baseline,10,110001,10,1024,44437.3,50.6885,42808.5,1320.18,-0.036655
baseline,11,120001,10,1024,45448,50.5975,43831.8,1380.45,-0.0355633
baseline,12,130001,10,1024,46275.4,45.8007,44588.9,1356.36,-0.0364451
baseline,13,140001,10,1024,46952.3,34.3443,45237,1338.35,-0.0365333
baseline,14,150001,10,1024,47508.4,35.4736,45813.4,1276.39,-0.0356781
baseline,15,160001,10,1024,47965.9,36.806,46291.6,1309.51,-0.034906
baseline,16,170001,10,1024,48337.2,29.2194,46698,1294.36,-0.0339122
baseline,17,180001,10,1024,48636,29.9615,47003.5,1351.5,-0.0335671
baseline,18,190001,10,1024,48883,25.865,47227.8,1343.86,-0.0338602
baseline,19,200000,10,1024,49087.1,27.3293,47411.7,1350.11,-0.0341312
