algo,stream_id,step,prefix_len,true_F0,estimate_N
baseline,0,0,10001,9079,8862.38
baseline,0,1,20001,16488,16072.6
baseline,0,2,30001,22492,21871.1
baseline,0,3,40001,27470,26508.6
baseline,0,4,50001,31501,30210.1
baseline,0,5,60001,34896,33372.6
baseline,0,6,70001,37660,36120.8
baseline,0,7,80001,39927,38196.3
baseline,0,8,90001,41752,41056.9
baseline,0,9,100001,43136,42246.5
baseline,0,10,110001,44372,43398.8
baseline,0,11,120001,45388,44301.2
baseline,0,12,130001,46216,45067.5
baseline,0,13,140001,46926,45695.7
baseline,0,14,150001,47495,46227.6
baseline,0,15,160001,47927,46594.1
baseline,0,16,170001,48338,47012.6
baseline,0,17,180001,48613,47248.3
baseline,0,18,190001,48871,47472.8
baseline,0,19,200000,49063,47685.8
baseline,1,0,10001,9055,8841.78
baseline,1,1,20001,16510,16043.3
baseline,1,2,30001,22610,21943.4
baseline,1,3,40001,27576,26706.5
baseline,1,4,50001,31671,30795.6
baseline,1,5,60001,34997,34069.6
baseline,1,6,70001,37732,36617.9
baseline,1,7,80001,39903,38943.7
baseline,1,8,90001,41695,41324.9
baseline,1,9,100001,43179,42640.9
baseline,1,10,110001,44427,43798.1
baseline,1,11,120001,45457,44754.2
baseline,1,12,130001,46329,45539
baseline,1,13,140001,46989,46100.3
baseline,1,14,150001,47519,46481
baseline,1,15,160001,47971,46936.4
baseline,1,16,170001,48329,47264.2
baseline,1,17,180001,48622,47524.1
baseline,1,18,190001,48844,47683.2
baseline,1,19,200000,49054,47884.8
baseline,2,0,10001,9065,8907.1
baseline,2,1,20001,16513,16077.9
baseline,2,2,30001,22574,21916.7
baseline,2,3,40001,27558,26599.6
baseline,2,4,50001,31654,30420
baseline,2,5,60001,35009,33682.2
baseline,2,6,70001,37750,36202.6
baseline,2,7,80001,39974,38393
baseline,2,8,90001,41811,41340.6
baseline,2,9,100001,43241,42678.1
baseline,2,10,110001,44465,43645.2
baseline,2,11,120001,45479,44673.3
baseline,2,12,130001,46313,45400.8
baseline,2,13,140001,46948,45996.9
baseline,2,14,150001,47516,46539.6
baseline,2,15,160001,47975,47018.8
baseline,2,16,170001,48331,47350.1
baseline,2,17,180001,48634,47616.3
baseline,2,18,190001,48876,47804.2
baseline,2,19,200000,49073,47971.3
baseline,3,0,10001,9041,8810.93
baseline,3,1,20001,16372,15669.5
baseline,3,2,30001,22429,21499.1
baseline,3,3,40001,27384,26065.9
baseline,3,4,50001,31496,29996.5
baseline,3,5,60001,34853,33106.4
baseline,3,6,70001,37547,35753.2
baseline,3,7,80001,39801,37870.2
baseline,3,8,90001,41724,39458
baseline,3,9,100001,43224,42225.4
