dataset,size,algorithm,time_us,char_comparisons
common_prefix,1100,msd_radix_sort,3496.56,180788
common_prefix,1100,msd_radix_sort_with_quick,3352.46,181618
common_prefix,1200,quick_sort,14585.7,1020317
common_prefix,1200,merge_sort,13252.6,878768
common_prefix,1200,string_quick_sort,1055.71,107421
common_prefix,1200,string_merge_sort,3044,105690
common_prefix,1200,msd_radix_sort,3884.51,197284
common_prefix,1200,msd_radix_sort_with_quick,3658.81,198292
common_prefix,1300,quick_sort,19249.7,1353185
common_prefix,1300,merge_sort,14589.6,962815
common_prefix,1300,string_quick_sort,1181.81,117550
common_prefix,1300,string_merge_sort,3267.37,114601
common_prefix,1300,msd_radix_sort,4163.93,213738
common_prefix,1300,msd_radix_sort_with_quick,3968.37,214945
common_prefix,1400,quick_sort,20173,1428499
common_prefix,1400,merge_sort,16112.5,1050637
common_prefix,1400,string_quick_sort,1273.65,125600
common_prefix,1400,string_merge_sort,3488.36,123604
common_prefix,1400,msd_radix_sort,4433.92,230214
common_prefix,1400,msd_radix_sort_with_quick,4211.55,231686
common_prefix,1500,quick_sort,20743.2,1459995
common_prefix,1500,merge_sort,17348,1136508
common_prefix,1500,string_quick_sort,1356.2,134839
common_prefix,1500,string_merge_sort,3754.58,132565
common_prefix,1500,msd_radix_sort,4728.13,246702
common_prefix,1500,msd_radix_sort_with_quick,4505.81,248340
common_prefix,1600,quick_sort,22354.2,1570835
common_prefix,1600,merge_sort,18725.9,1225341
common_prefix,1600,string_quick_sort,1458.3,143818
common_prefix,1600,string_merge_sort,3986.06,141523
common_prefix,1600,msd_radix_sort,5064.67,263190
common_prefix,1600,msd_radix_sort_with_quick,4889.03,264966
common_prefix,1700,quick_sort,28286.1,1982172
common_prefix,1700,merge_sort,19897.9,1312143
common_prefix,1700,string_quick_sort,1564.89,154097
common_prefix,1700,string_merge_sort,4278.13,150438
common_prefix,1700,msd_radix_sort,5510.79,279714
common_prefix,1700,msd_radix_sort_with_quick,5202.69,281806
common_prefix,1800,quick_sort,24930.1,1732211
common_prefix,1800,merge_sort,21082.1,1402492
common_prefix,1800,string_quick_sort,1638.92,163312
common_prefix,1800,string_merge_sort,4513.86,159452
common_prefix,1800,msd_radix_sort,5768.53,296242
common_prefix,1800,msd_radix_sort_with_quick,5412.58,298521
common_prefix,1900,quick_sort,25878,1805755
common_prefix,1900,merge_sort,22447.9,1490661
common_prefix,1900,string_quick_sort,1712.2,171081
common_prefix,1900,string_merge_sort,4776.38,168369
common_prefix,1900,msd_radix_sort,6070.18,312724
common_prefix,1900,msd_radix_sort_with_quick,5755.44,315408
common_prefix,2000,quick_sort,27431.9,1916782
common_prefix,2000,merge_sort,23837.6,1580407
common_prefix,2000,string_quick_sort,1804.07,180193
common_prefix,2000,string_merge_sort,5072,177451
common_prefix,2000,msd_radix_sort,6463.18,329228
common_prefix,2000,msd_radix_sort_with_quick,6083.98,332082
common_prefix,2100,quick_sort,31080.8,2179709
common_prefix,2100,merge_sort,25137.5,1670687
common_prefix,2100,string_quick_sort,1969.05,193122
common_prefix,2100,string_merge_sort,5288.46,186388
common_prefix,2100,msd_radix_sort,6774.85,345732
common_prefix,2100,msd_radix_sort_with_quick,6609.79,349178
common_prefix,2200,quick_sort,32475.6,2278664
common_prefix,2200,merge_sort,26715.1,1765561
common_prefix,2200,string_quick_sort,1971.19,198494
common_prefix,2200,string_merge_sort,5638.56,195411
common_prefix,2200,msd_radix_sort,7163.2,362248
common_prefix,2200,msd_radix_sort_with_quick,6727.55,365518
common_prefix,2300,quick_sort,39680.7,2568216
common_prefix,2300,merge_sort,27929.3,1855065
common_prefix,2300,string_quick_sort,2116.49,208094
common_prefix,2300,string_merge_sort,5865.1,204401
common_prefix,2300,msd_radix_sort,7755.45,378768
common_prefix,2300,msd_radix_sort_with_quick,7159.59,382236
common_prefix,2400,quick_sort,34408.6,2409800
common_prefix,2400,merge_sort,29698.1,1951164
common_prefix,2400,string_quick_sort,2219.15,217959
common_prefix,2400,string_merge_sort,6278.02,213525
common_prefix,2400,msd_radix_sort,7977.17,395284
common_prefix,2400,msd_radix_sort_with_quick,7436.7,399058
common_prefix,2500,quick_sort,38814.5,2625219
common_prefix,2500,merge_sort,31610,2045013
common_prefix,2500,string_quick_sort,2293.18,228080
common_prefix,2500,string_merge_sort,6487.5,222446
common_prefix,2500,msd_radix_sort,8197.78,411796
common_prefix,2500,msd_radix_sort_with_quick,7630.73,415981
common_prefix,2600,quick_sort,39360.7,2756331
common_prefix,2600,merge_sort,32341.6,2133025
common_prefix,2600,string_quick_sort,2470.21,239772
common_prefix,2600,string_merge_sort,6792.21,231517
common_prefix,2600,msd_radix_sort,8875.79,428348
common_prefix,2600,msd_radix_sort_with_quick,8252.08,432903
common_prefix,2700,quick_sort,40578.7,2837367
common_prefix,2700,merge_sort,33853.9,2232006
common_prefix,2700,string_quick_sort,2558.15,248945
common_prefix,2700,string_merge_sort,7038.78,240580
common_prefix,2700,msd_radix_sort,9109.81,444868
common_prefix,2700,msd_radix_sort_with_quick,8564.21,449647
common_prefix,2800,quick_sort,39489,2723839
common_prefix,2800,merge_sort,35349.3,2328367
common_prefix,2800,string_quick_sort,2573.19,253482
common_prefix,2800,string_merge_sort,7448.37,249639
common_prefix,2800,msd_radix_sort,9425.08,461456
common_prefix,2800,msd_radix_sort_with_quick,8789.57,466427
common_prefix,2900,quick_sort,44486.2,3114505
common_prefix,2900,merge_sort,36594,2421934
common_prefix,2900,string_quick_sort,2657.77,263331
common_prefix,2900,string_merge_sort,7677.93,258678
common_prefix,2900,msd_radix_sort,9645.22,477990
common_prefix,2900,msd_radix_sort_with_quick,9043.28,483653
common_prefix,3000,quick_sort,44830.4,3139064
common_prefix,3000,merge_sort,37950.1,2517624
common_prefix,3000,string_quick_sort,2771.02,273697
common_prefix,3000,string_merge_sort,7926.53,267763
common_prefix,3000,msd_radix_sort,9863.7,494540
common_prefix,3000,msd_radix_sort_with_quick,9317,500076
