dataset,size,algorithm,time_us,char_comparisons
random,2300,msd_radix_sort,931.8,10790
random,2300,msd_radix_sort_with_quick,466.308,14245
random,2400,quick_sort,1390.78,40962
random,2400,merge_sort,1881.37,34044
random,2400,string_quick_sort,682.983,24978
random,2400,string_merge_sort,3373.91,21693
random,2400,msd_radix_sort,974.167,11330
random,2400,msd_radix_sort_with_quick,489.558,15164
random,2500,quick_sort,1413.02,41673
random,2500,merge_sort,1988.75,35803
random,2500,string_quick_sort,799.475,30647
random,2500,string_merge_sort,3635.5,22713
random,2500,msd_radix_sort,1032.89,11878
random,2500,msd_radix_sort_with_quick,531.267,16045
random,2600,quick_sort,1659.52,47695
random,2600,merge_sort,2120.66,37528
random,2600,string_quick_sort,777.275,28776
random,2600,string_merge_sort,3780.69,23737
random,2600,msd_radix_sort,1095.67,12412
random,2600,msd_radix_sort_with_quick,559.233,16895
random,2700,quick_sort,1730.37,50344
random,2700,merge_sort,2166.61,39321
random,2700,string_quick_sort,853.975,35069
random,2700,string_merge_sort,3796.26,24793
random,2700,msd_radix_sort,1145.53,12986
random,2700,msd_radix_sort_with_quick,571.283,17522
random,2800,quick_sort,1641.63,50116
random,2800,merge_sort,2206.93,41054
random,2800,string_quick_sort,828.016,32113
random,2800,string_merge_sort,3979.27,25825
random,2800,msd_radix_sort,1170.01,13520
random,2800,msd_radix_sort_with_quick,601.425,18294
random,2900,quick_sort,1788.77,52251
random,2900,merge_sort,2374.57,42823
random,2900,string_quick_sort,856.2,31179
random,2900,string_merge_sort,4289.07,26801
random,2900,msd_radix_sort,1249.05,14054
random,2900,msd_radix_sort_with_quick,638.033,19398
random,3000,quick_sort,1922.03,54734
random,3000,merge_sort,2464.14,44578
random,3000,string_quick_sort,860.55,32019
random,3000,string_merge_sort,4368.33,27887
random,3000,msd_radix_sort,1295.01,14564
random,3000,msd_radix_sort_with_quick,632.941,19887
reversed,100,quick_sort,25.8,927
reversed,100,merge_sort,32.5334,583
